name,base_price,type,vendor
.NET Accounting 378,79.00,Offline,Software Vala
.NET Attendance 335,1999.00,Offline,Software Vala
.NET Auto 332,1999.00,Offline,Software Vala
.NET Car 102,99.00,Offline,Software Vala
.NET Fleet 116,0.00,Desktop,Software Vala
.NET Garage 189,0.00,SaaS,Software Vala
.NET HRMS 366,1499.00,Mobile,Software Vala
.NET Leave 110,1499.00,SaaS,Software Vala
.NET Online 262,99.00,Offline,Software Vala
.NET Warehouse 257,79.00,Desktop,Software Vala
.NET Warehouse 80,999.00,SaaS,Software Vala
Accounting 360 170,4999.00,SaaS,Software Vala
Accounting 360 172,0.00,SaaS,Software Vala
Accounting 360 315,149.00,Mobile,Software Vala
Accounting 360 394,49.00,Mobile,Software Vala
Accounting 360 46,29.00,Hybrid,Software Vala
Accounting Analytics 120,29.00,Desktop,Software Vala
Accounting Analytics 253,199.00,SaaS,Software Vala
Accounting Automation 9,799.00,Mobile,Software Vala
Accounting Basic 154,199.00,Mobile,Software Vala
Accounting Basic 202,79.00,SaaS,Software Vala
Accounting Basic 261,149.00,Offline,Software Vala
Accounting Central 193,29.00,Hybrid,Software Vala
Accounting Central 220,1499.00,Hybrid,Software Vala
Accounting Central 285,399.00,Hybrid,Software Vala
Accounting Central 36,0.00,SaaS,Software Vala
Accounting Cloud 126,299.00,SaaS,Software Vala
Accounting Cloud 203,999.00,Offline,Software Vala
Accounting Cloud 274,599.00,Offline,Software Vala
Accounting Enterprise 138,299.00,SaaS,Software Vala
Accounting Enterprise 288,1999.00,Desktop,Software Vala
Accounting Enterprise 93,149.00,Hybrid,Software Vala
Accounting Expert 57,49.00,Desktop,Software Vala
Accounting Hub 306,99.00,SaaS,Software Vala
Accounting Intelligence 227,299.00,SaaS,Software Vala
Accounting Manager 137,999.00,Desktop,Software Vala
Accounting Manager 171,0.00,Mobile,Software Vala
Accounting Manager 360,399.00,Hybrid,Software Vala
Accounting Master 157,599.00,SaaS,Software Vala
Accounting Master 3,149.00,Offline,Software Vala
Accounting Online 106,599.00,Desktop,Software Vala
Accounting Open Source 121,299.00,Mobile,Software Vala
Accounting Open Source 135,49.00,Hybrid,Software Vala
Accounting Open Source 302,799.00,Hybrid,Software Vala
Accounting Open Source 417,599.00,SaaS,Software Vala
Accounting Plus 319,4999.00,Hybrid,Software Vala
Accounting Plus 369,399.00,SaaS,Software Vala
Accounting Premium 178,149.00,Offline,Software Vala
Accounting Premium 50,4999.00,Hybrid,Software Vala
Accounting Pro 200,49.00,SaaS,Software Vala
Accounting Pro 229,49.00,Desktop,Software Vala
Accounting Pro 305,149.00,Desktop,Software Vala
Accounting Starter 272,799.00,SaaS,Software Vala
Accounting Suite 259,0.00,Hybrid,Software Vala
Accounting Suite 293,4999.00,Mobile,Software Vala
Accounting for Java 59,1499.00,Desktop,Software Vala
Accounting for Node.js 326,79.00,SaaS,Software Vala
Accounting for iOS 77,29.00,Mobile,Software Vala
Advanced Accounting 150,399.00,Mobile,Software Vala
Advanced Accounting 28,2999.00,Hybrid,Software Vala
Advanced Agent 335,0.00,SaaS,Software Vala
Advanced Asset 253,399.00,SaaS,Software Vala
Advanced Asset 306,79.00,SaaS,Software Vala
Advanced Attendance 208,99.00,Offline,Software Vala
Advanced Attendance 93,199.00,Offline,Software Vala
Advanced Auto 118,399.00,Offline,Software Vala
Advanced Auto 238,799.00,Hybrid,Software Vala
Advanced Booking 375,49.00,Hybrid,Software Vala
Advanced Booking 53,499.00,SaaS,Software Vala
Advanced Booking 63,499.00,Offline,Software Vala
Advanced Cab 288,1499.00,Mobile,Software Vala
Advanced Cab 415,399.00,Desktop,Software Vala
Advanced Car 251,499.00,Hybrid,Software Vala
Advanced Car 403,599.00,Hybrid,Software Vala
Advanced Car 66,499.00,Offline,Software Vala
Advanced Clinic 272,49.00,Offline,Software Vala
Advanced Clinic 333,199.00,Hybrid,Software Vala
Advanced Clinic 382,49.00,SaaS,Software Vala
Advanced Coaching 273,0.00,Mobile,Software Vala
Advanced Contact 102,49.00,SaaS,Software Vala
Advanced Contact 6,299.00,Offline,Software Vala
Advanced Contact 60,799.00,SaaS,Software Vala
Advanced Container 231,499.00,Offline,Software Vala
Advanced Container 263,79.00,Hybrid,Software Vala
Advanced Courier 190,79.00,Desktop,Software Vala
Advanced Customer 84,599.00,SaaS,Software Vala
Advanced Delivery 176,29.00,Hybrid,Software Vala
Advanced Delivery 182,49.00,SaaS,Software Vala
Advanced Delivery 248,199.00,Hybrid,Software Vala
Advanced Dental 319,399.00,Desktop,Software Vala
Advanced E-commerce 228,29.00,Mobile,Software Vala
Advanced E-commerce 56,49.00,Mobile,Software Vala
Advanced ERP 143,29.00,Mobile,Software Vala
Advanced ERP 44,29.00,SaaS,Software Vala
Advanced Electronics 211,599.00,Offline,Software Vala
Advanced Electronics 267,199.00,Offline,Software Vala
Advanced Electronics 58,599.00,Desktop,Software Vala
Advanced Employee 276,49.00,Hybrid,Software Vala
Advanced Event 208,4999.00,Mobile,Software Vala
Advanced Event 256,29.00,SaaS,Software Vala
Advanced Factory 2,799.00,Mobile,Software Vala
Advanced Fashion 121,149.00,Desktop,Software Vala
Advanced Fleet 187,1499.00,Hybrid,Software Vala
Advanced Flight 215,149.00,Offline,Software Vala
Advanced Food 278,99.00,Desktop,Software Vala
Advanced Food 331,399.00,Hybrid,Software Vala
Advanced Food 51,2999.00,Offline,Software Vala
Advanced Freight 127,799.00,Mobile,Software Vala
Advanced Garage 188,499.00,Hybrid,Software Vala
Advanced Garage 55,99.00,SaaS,Software Vala
Advanced Grocery 201,1499.00,SaaS,Software Vala
Advanced Grocery 217,49.00,Desktop,Software Vala
Advanced HRMS 409,79.00,Desktop,Software Vala
Advanced Helpdesk 2,499.00,Offline,Software Vala
Advanced Hospital 104,399.00,SaaS,Software Vala
Advanced Hospital 14,0.00,Mobile,Software Vala
Advanced Hospital 158,79.00,Offline,Software Vala
Advanced Hotel 15,199.00,Hybrid,Software Vala
Advanced Hotel 299,499.00,Mobile,Software Vala
Advanced Housing 169,1999.00,Mobile,Software Vala
Advanced Housing 373,799.00,Mobile,Software Vala
Advanced Housing 45,399.00,Hybrid,Software Vala
Advanced Inventory 223,29.00,Desktop,Software Vala
Advanced Inventory 242,1499.00,Hybrid,Software Vala
Advanced Inventory 343,499.00,Offline,Software Vala
Advanced Kitchen 362,599.00,Desktop,Software Vala
Advanced Kitchen 96,0.00,Offline,Software Vala
Advanced Lead 116,799.00,SaaS,Software Vala
Advanced Lead 248,49.00,SaaS,Software Vala
Advanced Lead 324,2999.00,SaaS,Software Vala
Advanced Lead 335,149.00,Offline,Software Vala
Advanced Lead 357,199.00,SaaS,Software Vala
Advanced Lead 362,599.00,Mobile,Software Vala
Advanced Lead 367,199.00,Mobile,Software Vala
Advanced Learning 120,4999.00,SaaS,Software Vala
Advanced Learning 39,199.00,Hybrid,Software Vala
Advanced Leave 404,0.00,Offline,Software Vala
Advanced Leave 411,149.00,Hybrid,Software Vala
Advanced Library 59,799.00,Offline,Software Vala
Advanced Load 158,4999.00,Hybrid,Software Vala
Advanced Loan 361,299.00,SaaS,Software Vala
Advanced MRP 121,1999.00,Hybrid,Software Vala
Advanced MRP 165,149.00,Desktop,Software Vala
Advanced MRP 188,79.00,SaaS,Software Vala
Advanced Medical 318,199.00,Offline,Software Vala
Advanced Multi-vendor 115,299.00,Mobile,Software Vala
Advanced Multi-vendor 162,399.00,Desktop,Software Vala
Advanced Online 102,299.00,Hybrid,Software Vala
Advanced Online 135,149.00,Hybrid,Software Vala
Advanced Online 319,4999.00,Offline,Software Vala
Advanced Online 52,1999.00,Mobile,Software Vala
Advanced POS 97,99.00,Mobile,Software Vala
Advanced Parking 352,999.00,SaaS,Software Vala
Advanced Parking 407,149.00,Mobile,Software Vala
Advanced Patient 188,0.00,SaaS,Software Vala
Advanced Patient 226,79.00,Hybrid,Software Vala
Advanced Payroll 130,1999.00,Offline,Software Vala
Advanced Payroll 181,1499.00,Offline,Software Vala
Advanced Payroll 246,1499.00,Mobile,Software Vala
Advanced Payroll 25,2999.00,SaaS,Software Vala
Advanced Payroll 415,29.00,Mobile,Software Vala
Advanced Performance 107,49.00,Mobile,Software Vala
Advanced Performance 199,799.00,Hybrid,Software Vala
Advanced Performance 349,499.00,Desktop,Software Vala
Advanced Pharmacy 128,29.00,SaaS,Software Vala
Advanced Pharmacy 64,499.00,Mobile,Software Vala
Advanced Pharmacy 92,2999.00,Desktop,Software Vala
Advanced Pipeline 150,799.00,SaaS,Software Vala
Advanced Production 320,399.00,Desktop,Software Vala
Advanced Production 383,79.00,Offline,Software Vala
Advanced Quality 255,599.00,Hybrid,Software Vala
Advanced Quality 291,199.00,Offline,Software Vala
